customer_id,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2
7970,3768.0,2.0,2 days 00:00:00.000000000,3313.0,2.0,1 days 00:00:00.000000000,1624.0,1.0,1 days 00:00:00.000000000
7971,9747.0,3.0,1 days 00:00:00.000000000,,,,,,
8066,1949.0,1.0,0 days 00:00:00.000000000,3638.0,2.0,1 days 00:00:00.000000000,,,
8240,28882.0,1.0,13 days 00:00:00.000000000,,,,,,
8244,1949.0,1.0,1 days 00:00:00.000000000,,,,,,
8353,1949.0,1.0,0 days 00:00:00.000000000,1819.0,1.0,0 days 00:00:00.000000000,3188.0,2.0,1 days 00:00:00.000000000
8380,1624.0,1.0,1 days 00:00:00.000000000,13318.0,2.0,5 days 00:00:00.000000000,,,
8605,2144.0,1.0,0 days 00:00:00.000000000,,,,2339.0,1.0,0 days 00:00:00.000000000
8611,,,,5847.0,1.0,2 days 00:00:00.000000000,,,
8656,,,,,,,8057.0,3.0,3 days 00:00:00.000000000
8680,,,,6934.0,1.0,0 days 00:00:00.000000000,,,
8704,,,,5068.0,2.0,1 days 00:00:00.000000000,31508.0,5.0,16 days 00:00:00.000000000
8760,2469.0,1.0,1 days 00:00:00.000000000,2729.0,1.0,1 days 00:00:00.000000000,7601.0,1.0,0 days 00:00:00.000000000
8861,2144.0,1.0,1 days 00:00:00.000000000,,,,,,
8864,,,,2664.0,1.0,0 days 00:00:00.000000000,1676.0,1.0,1 days 00:00:00.000000000
8873,7371.0,1.0,5 days 00:00:00.000000000,,,,,,
8875,2092.0,1.0,0 days 00:00:00.000000000,,,,,,
9065,,,,7149.0,1.0,3 days 00:00:00.000000000,,,
9108,,,,2469.0,1.0,0 days 00:00:00.000000000,,,
9133,2404.0,1.0,0 days 00:00:00.000000000,7233.0,1.0,2 days 00:00:00.000000000,2014.0,1.0,1 days 00:00:00.000000000
9187,,,,3379.0,1.0,0 days 00:00:00.000000000,,,
9197,6274.0,2.0,0 days 00:00:00.000000000,12235.0,2.0,0 days 00:00:00.000000000,1906.0,1.0,1 days 00:00:00.000000000
9198,4354.0,1.0,1 days 00:00:00.000000000,,,,,,
9298,,,,,,,2859.0,1.0,0 days 00:00:00.000000000
9330,,,,6658.0,2.0,1 days 00:00:00.000000000,14097.0,3.0,2 days 00:00:00.000000000
9338,3574.0,1.0,1 days 00:00:00.000000000,,,,,,
9354,,,,,,,5977.0,1.0,2 days 00:00:00.000000000
9386,,,,,,,2014.0,1.0,0 days 00:00:00.000000000
9560,,,,1364.0,1.0,0 days 00:00:00.000000000,,,
9634,,,,,,,2209.0,1.0,0 days 00:00:00.000000000
9671,4324.0,1.0,2 days 00:00:00.000000000,,,,,,
9732,,,,,,,8317.0,1.0,2 days 00:00:00.000000000
9858,,,,7703.0,4.0,4 days 00:00:00.000000000,8703.0,2.0,5 days 00:00:00.000000000
9894,,,,2989.0,1.0,1 days 00:00:00.000000000,,,
10015,,,,,,,14424.0,3.0,5 days 00:00:00.000000000
10067,,,,,,,2144.0,1.0,0 days 00:00:00.000000000
10362,,,,5652.0,3.0,2 days 00:00:00.000000000,8814.0,4.0,4 days 00:00:00.000000000
10444,,,,,,,3184.0,1.0,1 days 00:00:00.000000000
10453,9028.0,3.0,3 days 00:00:00.000000000,,,,,,
10629,,,,4288.0,2.0,1 days 00:00:00.000000000,1039.0,1.0,1 days 00:00:00.000000000
10757,,,,3184.0,1.0,0 days 00:00:00.000000000,,,
10815,,,,4157.0,1.0,2 days 00:00:00.000000000,,,
10965,,,,7281.0,3.0,1 days 00:00:00.000000000,,,
11025,,,,3963.0,2.0,2 days 00:00:00.000000000,,,
11069,,,,,,,6043.0,2.0,2 days 00:00:00.000000000
11199,,,,,,,2083.0,1.0,1 days 00:00:00.000000000
11332,11692.0,1.0,6 days 00:00:00.000000000,,,,,,
11342,12992.0,2.0,2 days 00:00:00.000000000,,,,,,
11404,1819.0,1.0,0 days 00:00:00.000000000,,,,,,
11659,6237.0,1.0,2 days 00:00:00.000000000,,,,,,
11665,,,,,,,1884.0,1.0,0 days 00:00:00.000000000
11800,,,,,,,1949.0,1.0,0 days 00:00:00.000000000
11931,,,,,,,1899.0,1.0,1 days 00:00:00.000000000
11989,,,,,,,2924.0,1.0,0 days 00:00:00.000000000
12023,2794.0,1.0,1 days 00:00:00.000000000,,,,,,
12114,,,,2491.0,1.0,1 days 00:00:00.000000000,,,
12255,18336.0,4.0,2 days 00:00:00.000000000,,,,,,
12340,,,,,,,11239.0,2.0,4 days 00:00:00.000000000
12354,,,,,,,3184.0,1.0,1 days 00:00:00.000000000
12377,,,,11565.0,1.0,0 days 00:00:00.000000000,6042.0,1.0,2 days 00:00:00.000000000
12484,,,,2534.0,1.0,0 days 00:00:00.000000000,,,
12485,2209.0,1.0,1 days 00:00:00.000000000,,,,8054.0,2.0,4 days 00:00:00.000000000
12781,3119.0,1.0,1 days 00:00:00.000000000,,,,,,
12790,,,,4116.0,1.0,2 days 00:00:00.000000000,,,
13060,,,,2404.0,1.0,1 days 00:00:00.000000000,,,
13091,3378.0,2.0,2 days 00:00:00.000000000,,,,9114.0,5.0,4 days 00:00:00.000000000
13131,2144.0,1.0,1 days 00:00:00.000000000,,,,,,
13138,,,,,,,1949.0,1.0,0 days 00:00:00.000000000
13139,6432.0,3.0,0 days 00:00:00.000000000,,,,,,
13209,4939.0,1.0,0 days 00:00:00.000000000,,,,,,
